,w_trip_id,waypoint_seq,capture_time,lat,lon,raw_speed,raw_speed_metric
104,0008216eee32c3901a4b1e3525f22f2c,18,2019-09-26T04:38:55.000Z,52.346737,9.867652,12.0,kph
105,0008216eee32c3901a4b1e3525f22f2c,18,2019-09-26T04:38:55.000Z,52.346737,9.867652,12.0,kph
106,0008216eee32c3901a4b1e3525f22f2c,15,2019-09-26T04:38:26.000Z,52.34667,9.867138,8.0,kph
107,0008216eee32c3901a4b1e3525f22f2c,15,2019-09-26T04:38:26.000Z,52.34667,9.867138,8.0,kph
108,0008216eee32c3901a4b1e3525f22f2c,1,2019-09-26T04:35:59.000Z,52.343142,9.862747,,kph
109,0008216eee32c3901a4b1e3525f22f2c,1,2019-09-26T04:35:59.000Z,52.343142,9.862747,,kph
110,0008216eee32c3901a4b1e3525f22f2c,30,2019-09-26T04:40:26.000Z,52.354537,9.868892,25.0,kph
111,0008216eee32c3901a4b1e3525f22f2c,30,2019-09-26T04:40:26.000Z,52.354537,9.868892,25.0,kph
112,0008216eee32c3901a4b1e3525f22f2c,57,2019-09-26T04:44:11.000Z,52.343,9.8617,23.0,kph
113,0008216eee32c3901a4b1e3525f22f2c,57,2019-09-26T04:44:11.000Z,52.343,9.8617,23.0,kph
114,0008216eee32c3901a4b1e3525f22f2c,52,2019-09-26T04:43:27.000Z,52.342837,9.865635,23.0,kph
115,0008216eee32c3901a4b1e3525f22f2c,52,2019-09-26T04:43:27.000Z,52.342837,9.865635,23.0,kph
116,0008216eee32c3901a4b1e3525f22f2c,33,2019-09-26T04:40:44.000Z,52.35567,9.868035,18.0,kph
117,0008216eee32c3901a4b1e3525f22f2c,33,2019-09-26T04:40:44.000Z,52.35567,9.868035,18.0,kph
118,0008216eee32c3901a4b1e3525f22f2c,34,2019-09-26T04:40:56.000Z,52.35568,9.867878,13.0,kph
119,0008216eee32c3901a4b1e3525f22f2c,34,2019-09-26T04:40:56.000Z,52.35568,9.867878,13.0,kph
120,0008216eee32c3901a4b1e3525f22f2c,46,2019-09-26T04:42:45.000Z,52.344563,9.867463,28.0,kph
121,0008216eee32c3901a4b1e3525f22f2c,46,2019-09-26T04:42:45.000Z,52.344563,9.867463,28.0,kph
122,0008216eee32c3901a4b1e3525f22f2c,32,2019-09-26T04:40:41.000Z,52.35547,9.8683,24.0,kph
123,0008216eee32c3901a4b1e3525f22f2c,32,2019-09-26T04:40:41.000Z,52.35547,9.8683,24.0,kph
124,0008216eee32c3901a4b1e3525f22f2c,53,2019-09-26T04:43:30.000Z,52.342505,9.865422,22.0,kph
125,0008216eee32c3901a4b1e3525f22f2c,53,2019-09-26T04:43:30.000Z,52.342505,9.865422,22.0,kph
126,0008216eee32c3901a4b1e3525f22f2c,55,2019-09-26T04:43:44.000Z,52.342497,9.864247,18.0,kph
127,0008216eee32c3901a4b1e3525f22f2c,55,2019-09-26T04:43:44.000Z,52.342497,9.864247,18.0,kph
128,0008216eee32c3901a4b1e3525f22f2c,24,2019-09-26T04:39:40.000Z,52.35216,9.869925,50.0,kph
129,0008216eee32c3901a4b1e3525f22f2c,24,2019-09-26T04:39:40.000Z,52.35216,9.869925,50.0,kph
130,0008216eee32c3901a4b1e3525f22f2c,54,2019-09-26T04:43:41.000Z,52.342482,9.864812,18.0,kph
131,0008216eee32c3901a4b1e3525f22f2c,54,2019-09-26T04:43:41.000Z,52.342482,9.864812,18.0,kph
132,0008216eee32c3901a4b1e3525f22f2c,17,2019-09-26T04:38:45.000Z,52.346492,9.867197,,kph
133,0008216eee32c3901a4b1e3525f22f2c,17,2019-09-26T04:38:45.000Z,52.346492,9.867197,,kph
134,0008216eee32c3901a4b1e3525f22f2c,10,2019-09-26T04:37:31.000Z,52.344808,9.86782,21.0,kph
135,0008216eee32c3901a4b1e3525f22f2c,10,2019-09-26T04:37:31.000Z,52.344808,9.86782,21.0,kph
136,00111cf45111ab79bcf477b4681e310b,14,2019-11-14T23:06:30.000Z,52.403154,9.73571,,kph
137,00111cf45111ab79bcf477b4681e310b,14,2019-11-14T23:06:30.000Z,52.403154,9.73571,,kph
138,00111cf45111ab79bcf477b4681e310b,25,2019-11-14T23:09:15.000Z,52.415781,9.734083,50.0,kph
139,00111cf45111ab79bcf477b4681e310b,25,2019-11-14T23:09:15.000Z,52.415781,9.734083,50.0,kph
140,00111cf45111ab79bcf477b4681e310b,8,2019-11-14T23:05:00.000Z,52.399293,9.73638,1.0,kph
141,00111cf45111ab79bcf477b4681e310b,8,2019-11-14T23:05:00.000Z,52.399293,9.73638,1.0,kph
142,00111cf45111ab79bcf477b4681e310b,11,2019-11-14T23:05:45.000Z,52.401473,9.735888,62.0,kph
143,00111cf45111ab79bcf477b4681e310b,11,2019-11-14T23:05:45.000Z,52.401473,9.735888,62.0,kph
144,00111cf45111ab79bcf477b4681e310b,20,2019-11-14T23:08:00.000Z,52.411935,9.73459,37.0,kph
145,00111cf45111ab79bcf477b4681e310b,20,2019-11-14T23:08:00.000Z,52.411935,9.73459,37.0,kph
146,00111cf45111ab79bcf477b4681e310b,44,2019-11-14T23:14:00.000Z,52.4361,9.755,19.0,kph
147,00111cf45111ab79bcf477b4681e310b,44,2019-11-14T23:14:00.000Z,52.4361,9.755,19.0,kph
148,00111cf45111ab79bcf477b4681e310b,27,2019-11-14T23:09:45.000Z,52.419351,9.733569,54.0,kph
149,00111cf45111ab79bcf477b4681e310b,27,2019-11-14T23:09:45.000Z,52.419351,9.733569,54.0,kph
150,00111cf45111ab79bcf477b4681e310b,9,2019-11-14T23:05:15.000Z,52.399258,9.736368,,kph
151,00111cf45111ab79bcf477b4681e310b,9,2019-11-14T23:05:15.000Z,52.399258,9.736368,,kph
152,00111cf45111ab79bcf477b4681e310b,30,2019-11-14T23:10:30.000Z,52.421033,9.733352,45.0,kph
153,00111cf45111ab79bcf477b4681e310b,30,2019-11-14T23:10:30.000Z,52.421033,9.733352,45.0,kph
154,00111cf45111ab79bcf477b4681e310b,19,2019-11-14T23:07:45.000Z,52.409823,9.734842,54.0,kph
155,00111cf45111ab79bcf477b4681e310b,19,2019-11-14T23:07:45.000Z,52.409823,9.734842,54.0,kph
156,00111cf45111ab79bcf477b4681e310b,22,2019-11-14T23:08:30.000Z,52.412188,9.734571,,kph
157,00111cf45111ab79bcf477b4681e310b,22,2019-11-14T23:08:30.000Z,52.412188,9.734571,,kph
158,00111cf45111ab79bcf477b4681e310b,35,2019-11-14T23:11:45.000Z,52.429098,9.733512,50.0,kph
159,00111cf45111ab79bcf477b4681e310b,35,2019-11-14T23:11:45.000Z,52.429098,9.733512,50.0,kph
160,00111cf45111ab79bcf477b4681e310b,28,2019-11-14T23:10:00.000Z,52.420629,9.733473,14.0,kph
161,00111cf45111ab79bcf477b4681e310b,28,2019-11-14T23:10:00.000Z,52.420629,9.733473,14.0,kph
162,00111cf45111ab79bcf477b4681e310b,34,2019-11-14T23:11:30.000Z,52.429015,9.732235,60.0,kph
163,00111cf45111ab79bcf477b4681e310b,34,2019-11-14T23:11:30.000Z,52.429015,9.732235,60.0,kph
164,00111cf45111ab79bcf477b4681e310b,41,2019-11-14T23:13:15.000Z,52.431851,9.754915,59.0,kph
165,00111cf45111ab79bcf477b4681e310b,41,2019-11-14T23:13:15.000Z,52.431851,9.754915,59.0,kph
166,00111cf45111ab79bcf477b4681e310b,15,2019-11-14T23:06:45.000Z,52.403112,9.735742,,kph
167,00111cf45111ab79bcf477b4681e310b,15,2019-11-14T23:06:45.000Z,52.403112,9.735742,,kph
168,00111cf45111ab79bcf477b4681e310b,0,2019-11-14T23:03:00.000Z,52.3916,9.7476,,kph
169,00111cf45111ab79bcf477b4681e310b,0,2019-11-14T23:03:00.000Z,52.3916,9.7476,,kph
170,00111cf45111ab79bcf477b4681e310b,24,2019-11-14T23:09:00.000Z,52.413804,9.734269,52.0,kph
171,00111cf45111ab79bcf477b4681e310b,24,2019-11-14T23:09:00.000Z,52.413804,9.734269,52.0,kph
172,00111cf45111ab79bcf477b4681e310b,6,2019-11-14T23:04:30.000Z,52.398737,9.740396,61.0,kph
173,00111cf45111ab79bcf477b4681e310b,6,2019-11-14T23:04:30.000Z,52.398737,9.740396,61.0,kph
174,00111cf45111ab79bcf477b4681e310b,42,2019-11-14T23:13:30.000Z,52.434507,9.754731,59.0,kph
175,00111cf45111ab79bcf477b4681e310b,42,2019-11-14T23:13:30.000Z,52.434507,9.754731,59.0,kph
